nombre,longitud,par,vocal,consonantes,espacios,puntos,palabras,clase
'Aaron Feigelson',15,0,1,7,1,0,2,-
'Alexander M. Meystel',20,1,1,11,2,1,3,-
'Ameur Foued',11,0,1,4,1,0,2,-
'Andrew W. Moore',15,0,1,7,2,1,3,-
'Andrey Burago',13,0,1,7,1,0,2,-
'Antoine Cornuejols',18,1,1,9,1,0,2,-
'Arlindo Oliveira',16,1,1,7,1,0,2,-
'Armand Prieditis',16,1,1,9,1,0,2,-
'Attilio Giordana',16,1,1,7,1,0,2,-
'Aurora Perez',12,1,1,5,1,0,2,-
'Bala Kalyanasundaram',20,1,0,11,1,0,2,-
'Barak A. Pearlmutter',20,1,0,10,2,1,3,-
'Bernhard Pfahringer',19,0,0,13,1,0,2,-
'Bhaskar Dasgupta',16,1,0,10,1,0,2,-
'Bradley L. Whitehall',20,1,0,12,2,1,3,-
'Brian D. Davidson',17,0,0,9,2,1,3,-
'Bruce A. MacDonald',18,1,0,9,2,1,3,-
'Carla E. Brodley',16,1,0,8,2,1,3,-
'Chidanand Apte',14,1,0,8,1,0,2,-
'Claire Cardie',13,0,0,6,1,0,2,-
'Clare Bates Congdon',19,0,0,11,2,0,3,-
'Claude Sammut',13,0,0,7,1,0,2,-
'Claudio Facchinetti',19,0,0,10,1,0,2,-
'Craig Nevill-Manning',20,1,0,13,1,0,2,-
'Cristina Baroglio',17,0,0,9,1,0,2,-
'Dana Angluin',12,1,0,6,1,0,2,-
'Daniel Hennessy',15,0,0,9,1,0,2,-
'Daniel Kortenkamp',17,0,0,10,1,0,2,-
'Daniel L. Silver',16,1,0,8,2,1,3,-
'Darko Zupanic',13,0,0,7,1,0,2,-
'David Haussler',14,1,0,8,1,0,2,-
'David Loewenstern',17,0,0,10,1,0,2,-
'David Mathias',13,0,0,7,1,0,2,-
'David Montgomery',16,1,0,10,1,0,2,-
'David Pierce',12,1,0,6,1,0,2,-
'Diana Gordon',12,1,0,6,1,0,2,-
'Dunja Mladenic',14,1,0,8,1,0,2,-
'Emanuel Knill',13,0,1,7,1,0,2,-
'Eric Allender',13,0,1,7,1,0,2,-
'Eyal Kushilevitz',16,1,1,9,1,0,2,-
'Fernando Pereira',16,1,0,8,1,0,2,-
'Filippo Neri',12,1,0,6,1,0,2,-
'Geoffrey Gordon',15,0,0,9,1,0,2,-
'George A. Drastal',17,0,0,8,2,1,3,-
'Glenn Silverstein',17,0,0,11,1,0,2,-
'Grigoris Karakoulas',19,0,0,10,1,0,2,-
'Haralabos Athanassiou',21,0,0,10,1,0,2,-
'Hiroshi Motoda',14,1,0,7,1,0,2,-
'Hiroshi Tanaka',14,1,0,7,1,0,2,-
'Irina Tchoumatchenko',20,1,1,11,1,0,2,-
'J. Jeffrey Mahoney',18,1,0,10,2,1,3,-
'Jean Gabriel Ganascia',21,0,0,10,2,0,3,-
'Jean-Daniel Zucker',18,1,0,10,1,0,2,-
'Jeffery Clouse',14,1,0,8,1,0,2,-
'Joe Suzuki',10,1,0,4,1,0,2,-
'Johanne Morin',13,0,0,7,1,0,2,-
'Johannes Furnkranz',18,1,0,12,1,0,2,-
'Jonathan Hodgson',16,1,0,10,1,0,2,-
'Jorg-Uwe Kietz',14,1,0,8,1,0,2,-
'Jose L. Balcazar',16,1,0,8,2,1,3,-
'Joseph O\'Sullivan',17,0,0,10,1,0,2,-
'Justinian Rosca',15,0,0,8,1,0,2,-
'Karsten Verbeurgt',17,0,0,11,1,0,2,-
'Kazushi Ikeda',13,0,0,6,1,0,2,-
'Kenji Yamanishi',15,0,0,8,1,0,2,-
'Kimmen Sjolander',16,1,0,10,1,0,2,-
'Krishnan Pillaipakkamnatt',25,0,0,16,1,0,2,-
'Leslie Grate',12,1,0,6,1,0,2,-
'Leslie Pack Kaelbling',21,0,0,12,2,0,3,-
